632.123333333,New Point
632.291333333,New Point
632.459333333,New Point
632.809333333,New Point
632.993333333,New Point
633.318000000,New Point
633.680000000,New Point
633.865000000,New Point
634.237333333,New Point
634.400666667,New Point
634.596666667,New Point
634.942000000,New Point
635.119333333,New Point
635.446000000,New Point
635.786666667,New Point
635.987333333,New Point
636.342000000,New Point
636.519333333,New Point
636.706000000,New Point
637.032666667,New Point
637.238000000,New Point
637.541333333,New Point
