998.918333333,New Point
999.116666667,New Point
999.295000000,New Point
999.636666667,New Point
999.833333333,New Point
1000.148333333,New Point
1000.490000000,New Point
1000.688333333,New Point
1001.015000000,New Point
1001.188333333,New Point
1001.376666667,New Point
1001.701666667,New Point
1001.870000000,New Point
1002.193333333,New Point
1002.528333333,New Point
1002.703333333,New Point
1003.045000000,New Point
1003.226666667,New Point
1003.413333333,New Point
1003.731666667,New Point
1003.903333333,New Point
1004.206666667,New Point
