1676.970000000,New Point
1677.120000000,New Point
1677.306000000,New Point
1677.618000000,New Point
1677.804000000,New Point
1678.134000000,New Point
1678.494000000,New Point
1678.656000000,New Point
1678.986000000,New Point
1679.184000000,New Point
1679.370000000,New Point
1679.682000000,New Point
1679.892000000,New Point
1680.156000000,New Point
1680.486000000,New Point
1680.690000000,New Point
1680.996000000,New Point
1681.170000000,New Point
1681.374000000,New Point
1681.668000000,New Point
1681.872000000,New Point
1682.178000000,New Point
