,dt_UTC,cTime_s,rTime_s
RE_Synch,2023-02-15 10:25:26.573000+00:00,0.0,0.0
RD_Synch,2023-02-15 11:05:36.897000+00:00,0.0,2410.324
RD_Reic,2023-02-15 11:16:50.919000+00:00,674.022,3084.346
RD_Reic2,2023-02-15 12:02:00.040000+00:00,3383.143,5793.467000000001
C1_Synch,2023-02-16 08:33:18.524000+00:00,0.0,0.0
C1_Reic,2023-02-16 08:45:22.446000+00:00,723.922,723.922
C2_Synch,2023-02-16 10:16:22.697000+00:00,0.0,6184.173000000001
C2_Reic,2023-02-16 10:27:10.927000+00:00,648.23,6832.403
C3_Synch,2023-02-17 08:30:51.841000+00:00,0.0,0.0
C3_Reic,2023-02-17 08:40:31.007000+00:00,579.166,579.166
C4_Synch,2023-02-17 10:16:26.888000+00:00,0.0,6335.0470000000005
C4_Reic,2023-02-17 10:27:20.769000+00:00,653.8810000000001,6988.928000000001
C5_Synch,2023-02-18 15:10:29.583000+00:00,0.0,0.0
C5_Reic,2023-02-18 15:22:04.555000+00:00,694.9720000000001,694.9720000000001
