,C1_Synch,C1_Reic,C2_Synch,C2_Reic
VN102,2023-02-16 08:33:18.264000+00:00,2023-02-16 08:45:22.016000+00:00,2023-02-16 10:16:21.637000+00:00,2023-02-16 10:27:09.787000+00:00
VN107,,2023-02-16 08:45:23.396000+00:00,,2023-02-16 10:27:11.347000+00:00
VN106,2023-02-16 08:33:19.384000+00:00,2023-02-16 08:45:23.256000+00:00,2023-02-16 10:16:23.097000+00:00,2023-02-16 10:27:11.257000+00:00
VN108,2023-02-16 08:33:19.864000+00:00,2023-02-16 08:45:23.586000+00:00,2023-02-16 10:16:23.417000+00:00,2023-02-16 10:27:11.567000+00:00
VN101,,2023-02-16 08:45:23.086000+00:00,2023-02-16 10:16:22.717000+00:00,2023-02-16 10:27:10.727000+00:00
VN105,2023-02-16 08:33:19.014000+00:00,2023-02-16 08:45:22.896000+00:00,2023-02-16 10:16:22.437000+00:00,2023-02-16 10:27:10.607000+00:00
VN104,2023-02-16 08:33:19.874000+00:00,2023-02-16 08:45:23.726000+00:00,2023-02-16 10:16:23.207000+00:00,2023-02-16 10:27:11.417000+00:00
VN103,2023-02-16 08:33:19.414000+00:00,2023-02-16 08:45:23.266000+00:00,2023-02-16 10:16:22.777000+00:00,2023-02-16 10:27:10.987000+00:00
VN205,2023-02-16 08:33:20.374000+00:00,2023-02-16 08:45:24.166000+00:00,2023-02-16 10:16:23.947000+00:00,2023-02-16 10:27:12.127000+00:00
VN203,2023-02-16 08:33:19.174000+00:00,2023-02-16 08:45:22.956000+00:00,2023-02-16 10:16:22.837000+00:00,2023-02-16 10:27:10.997000+00:00
VN202,,2023-02-16 08:45:23.416000+00:00,,
VN206,2023-02-16 08:33:19.634000+00:00,2023-02-16 08:45:23.476000+00:00,2023-02-16 10:16:23.267000+00:00,2023-02-16 10:27:11.387000+00:00
VN209,,,2023-02-16 10:16:23.177000+00:00,2023-02-16 10:27:11.367000+00:00
VN210,,2023-02-16 08:45:23.716000+00:00,2023-02-16 10:16:23.507000+00:00,2023-02-16 10:27:11.707000+00:00
VN207,2023-02-16 08:33:19.474000+00:00,2023-02-16 08:45:23.296000+00:00,2023-02-16 10:16:23.077000+00:00,2023-02-16 10:27:11.297000+00:00
VN208,2023-02-16 08:33:19.974000+00:00,2023-02-16 08:45:23.926000+00:00,2023-02-16 10:16:23.667000+00:00,2023-02-16 10:27:11.897000+00:00
VN201,2023-02-16 08:33:20.334000+00:00,2023-02-16 08:45:24.126000+00:00,2023-02-16 10:16:23.927000+00:00,2023-02-16 10:27:12.187000+00:00
VN204,2023-02-16 08:33:19.094000+00:00,2023-02-16 08:45:22.926000+00:00,2023-02-16 10:16:22.717000+00:00,2023-02-16 10:27:10.907000+00:00
VA305,2023-02-16 08:33:18.324000+00:00,2023-02-16 08:45:22.156000+00:00,2023-02-16 10:16:22.007000+00:00,2023-02-16 10:27:10.107000+00:00
VA307,2023-02-16 08:33:19.094000+00:00,2023-02-16 08:45:22.986000+00:00,2023-02-16 10:16:22.777000+00:00,2023-02-16 10:27:10.987000+00:00
VA308,2023-02-16 08:33:21.224000+00:00,2023-02-16 08:45:25.096000+00:00,2023-02-16 10:16:24.967000+00:00,2023-02-16 10:27:13.097000+00:00
VA301,2023-02-16 08:33:19.504000+00:00,2023-02-16 08:45:23.366000+00:00,2023-02-16 10:16:23.187000+00:00,2023-02-16 10:27:11.307000+00:00
VA306,,2023-02-16 08:45:22.876000+00:00,,
VA302,2023-02-16 08:33:19.934000+00:00,2023-02-16 08:45:23.826000+00:00,2023-02-16 10:16:23.547000+00:00,2023-02-16 10:27:11.777000+00:00
VA303,2023-02-16 08:33:19.944000+00:00,2023-02-16 08:45:23.806000+00:00,2023-02-16 10:16:23.607000+00:00,2023-02-16 10:27:11.827000+00:00
VA304,2023-02-16 08:33:20.294000+00:00,2023-02-16 08:45:24.176000+00:00,2023-02-16 10:16:23.987000+00:00,2023-02-16 10:27:12.177000+00:00
LS406,2023-02-16 08:33:19.074000+00:00,2023-02-16 08:45:22.966000+00:00,2023-02-16 10:16:22.767000+00:00,2023-02-16 10:27:10.967000+00:00
LS407,2023-02-16 08:33:18.034000+00:00,2023-02-16 08:45:21.896000+00:00,2023-02-16 10:16:21.737000+00:00,2023-02-16 10:27:09.937000+00:00
LS408,2023-02-16 08:33:19.084000+00:00,2023-02-16 08:45:22.926000+00:00,2023-02-16 10:16:22.777000+00:00,2023-02-16 10:27:10.947000+00:00
LS405,2023-02-16 08:33:19.954000+00:00,2023-02-16 08:45:23.856000+00:00,2023-02-16 10:16:23.587000+00:00,2023-02-16 10:27:11.827000+00:00
LS401,2023-02-16 08:33:20.344000+00:00,2023-02-16 08:45:24.256000+00:00,2023-02-16 10:16:24.097000+00:00,2023-02-16 10:27:12.247000+00:00
LS403,2023-02-16 08:33:20.244000+00:00,2023-02-16 08:45:24.136000+00:00,2023-02-16 10:16:23.857000+00:00,2023-02-16 10:27:12.077000+00:00
LS402,2023-02-16 08:33:19.404000+00:00,2023-02-16 08:45:23.336000+00:00,2023-02-16 10:16:23.147000+00:00,2023-02-16 10:27:11.347000+00:00
LS410,2023-02-16 08:33:19.404000+00:00,2023-02-16 08:45:23.256000+00:00,2023-02-16 10:16:23.057000+00:00,2023-02-16 10:27:11.217000+00:00
LS404,,2023-02-16 08:45:23.726000+00:00,2023-02-16 10:16:23.517000+00:00,2023-02-16 10:27:11.647000+00:00
WW505,2023-02-16 08:33:19.824000+00:00,2023-02-16 08:45:23.526000+00:00,2023-02-16 10:16:23.387000+00:00,2023-02-16 10:27:11.517000+00:00
WW502,2023-02-16 08:33:19.114000+00:00,2023-02-16 08:45:22.956000+00:00,2023-02-16 10:16:22.637000+00:00,2023-02-16 10:27:10.927000+00:00
WW503,,,2023-02-16 10:16:22.837000+00:00,2023-02-16 10:27:11.057000+00:00
WW506,2023-02-16 08:33:19.874000+00:00,2023-02-16 08:45:23.716000+00:00,2023-02-16 10:16:23.537000+00:00,2023-02-16 10:27:11.667000+00:00
WW501,2023-02-16 08:33:20.084000+00:00,2023-02-16 08:45:23.916000+00:00,2023-02-16 10:16:23.807000+00:00,2023-02-16 10:27:11.877000+00:00
WW504,2023-02-16 08:33:20.574000+00:00,,2023-02-16 10:16:24.177000+00:00,
WW507,2023-02-16 08:33:18.794000+00:00,2023-02-16 08:45:22.676000+00:00,2023-02-16 10:16:22.437000+00:00,2023-02-16 10:27:10.677000+00:00
BR604,2023-02-16 08:33:19.694000+00:00,2023-02-16 08:45:23.546000+00:00,2023-02-16 10:16:23.407000+00:00,2023-02-16 10:27:11.527000+00:00
BR603,,2023-02-16 08:45:23.046000+00:00,2023-02-16 10:16:22.957000+00:00,2023-02-16 10:27:11.087000+00:00
BR606,2023-02-16 08:33:20.024000+00:00,2023-02-16 08:45:23.866000+00:00,2023-02-16 10:16:23.597000+00:00,2023-02-16 10:27:11.817000+00:00
BR607,2023-02-16 08:33:19.394000+00:00,2023-02-16 08:45:23.246000+00:00,2023-02-16 10:16:23.027000+00:00,2023-02-16 10:27:11.217000+00:00
BR605,2023-02-16 08:33:19.854000+00:00,2023-02-16 08:45:23.716000+00:00,2023-02-16 10:16:23.457000+00:00,2023-02-16 10:27:11.677000+00:00
BR601,2023-02-16 08:33:20.474000+00:00,2023-02-16 08:45:24.306000+00:00,2023-02-16 10:16:24.177000+00:00,2023-02-16 10:27:12.327000+00:00
PC704,2023-02-16 08:33:20.654000+00:00,2023-02-16 08:45:24.526000+00:00,2023-02-16 10:16:24.387000+00:00,2023-02-16 10:27:12.617000+00:00
PC705,2023-02-16 08:33:19.514000+00:00,2023-02-16 08:45:23.366000+00:00,2023-02-16 10:16:23.157000+00:00,2023-02-16 10:27:11.337000+00:00
PC703,2023-02-16 08:33:19.114000+00:00,2023-02-16 08:45:23.016000+00:00,2023-02-16 10:16:22.797000+00:00,2023-02-16 10:27:11.007000+00:00
PC701,,2023-02-16 08:45:23.886000+00:00,2023-02-16 10:16:23.657000+00:00,2023-02-16 10:27:11.867000+00:00
PC702,2023-02-16 08:33:19.374000+00:00,2023-02-16 08:45:23.246000+00:00,2023-02-16 10:16:23.077000+00:00,2023-02-16 10:27:11.297000+00:00
PC707,2023-02-16 08:33:19.484000+00:00,2023-02-16 08:45:23.156000+00:00,2023-02-16 10:16:23.007000+00:00,2023-02-16 10:27:11.187000+00:00
BR602,2023-02-16 08:33:18.034000+00:00,2023-02-16 08:45:21.946000+00:00,2023-02-16 10:16:21.697000+00:00,2023-02-16 10:27:09.907000+00:00
