devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
VN204,0.0036248389947867833,0.6545706645340018,269,1.076000000001315,12801,51.20400000006258,1.076000000001315,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1a887f790>, <matplotlib.lines.Line2D object at 0x1a887f6d0>)",,2023-02-15 10:25:02.076000+00:00
VN209,0.10156924892299697,,932,,12801,51.20400000006258,3.728000000004556,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1aa4c2610>, <matplotlib.lines.Line2D object at 0x1aa4c2550>)",,
WW501,0.10167906824593446,,103,,12801,51.20400000006258,0.4120000000005035,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1abf453d0>, <matplotlib.lines.Line2D object at 0x1abf45310>)",,
VN108,0.1268234600161378,0.3937687836070505,192,0.7680000000009386,12801,51.20400000006258,0.7680000000009386,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1ad7fba60>, <matplotlib.lines.Line2D object at 0x1ad7fb9a0>)",,2023-02-15 10:25:01.768000+00:00
VN203,0.0073634065438219175,0.664823364648104,258,1.0320000000012612,12801,51.20400000006258,1.0320000000012612,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1c9223190>, <matplotlib.lines.Line2D object at 0x1c92230d0>)",,2023-02-15 10:25:02.032000+00:00
VN103,0.01044969389228414,0.3881981400511185,394,1.576000000001926,12801,51.20400000006258,1.576000000001926,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1caac0fa0>, <matplotlib.lines.Line2D object at 0x1caac0ee0>)",,2023-02-15 10:25:02.576000+00:00
WW506,0.02755216738356418,0.4574166738474635,-147,-0.5880000000007186,12801,51.20400000006258,-0.5880000000007186,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1ce02b820>, <matplotlib.lines.Line2D object at 0x1ce02b760>)",,2023-02-15 10:25:00.412000+00:00
LS401,0.04479452423507638,0.5204485055179507,222,0.8880000000010853,12801,51.20400000006258,0.8880000000010853,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1cf690f70>, <matplotlib.lines.Line2D object at 0x1cf690eb0>)",,2023-02-15 10:25:01.888000+00:00
WW505,0.25029116927755357,0.5136884734544527,190,0.7600000000009288,12801,51.20400000006258,0.7600000000009288,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1d0e80520>, <matplotlib.lines.Line2D object at 0x1d0e80460>)",,2023-02-15 10:25:01.760000+00:00
WW502,0.010700104521431225,0.5521097886146585,313,1.2520000000015301,12801,51.20400000006258,1.2520000000015301,"(array([-6400, -6399, -6398, ...,  6398,  6399,  6400]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1d24dfca0>, <matplotlib.lines.Line2D object at 0x1d24dfbe0>)",,2023-02-15 10:25:02.252000+00:00
