devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC
BR604,0.023344666897035057,0.579092527477369,-372,-1.4880000000018185,20481,81.92400000010012,-1.4880000000018185,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x23bfa82b0>, <matplotlib.lines.Line2D object at 0x23bfa81f0>)"
VA302,0.009655535876486755,0.5397776783407011,-239,-0.9560000000011684,20481,81.92400000010012,-0.9560000000011684,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x23e5224c0>, <matplotlib.lines.Line2D object at 0x23e522400>)"
PC704,0.01025819628627909,0.4618763791487124,-426,-1.7040000000020825,20481,81.92400000010012,-1.7040000000020825,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x240ad2f10>, <matplotlib.lines.Line2D object at 0x240ad2e50>)"
LS401,0.014172064049488493,0.31806922105146074,-722,-2.8880000000035295,20481,81.92400000010012,-2.8880000000035295,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2430d3a30>, <matplotlib.lines.Line2D object at 0x2430d3970>)"
VA304,0.0060594850909278354,0.5752654597023881,-328,-1.3120000000016034,20481,81.92400000010012,-1.3120000000016034,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x245790880>, <matplotlib.lines.Line2D object at 0x2457907c0>)"
BR601,0.26459613331711745,0.4175323855592392,-189,-0.7560000000009239,20481,81.92400000010012,-0.7560000000009239,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x247cccbb0>, <matplotlib.lines.Line2D object at 0x247cccaf0>)"
VN103,0.010652669232575252,0.4670768200873172,-106,-0.4240000000005182,20481,81.92400000010012,-0.4240000000005182,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24a2d6070>, <matplotlib.lines.Line2D object at 0x24a2c6f70>)"
LS407,0.04409433063679647,0.44572060197054064,249,0.9960000000012172,20481,81.92400000010012,0.9960000000012172,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24fc934f0>, <matplotlib.lines.Line2D object at 0x24fc93430>)"
VA306,0.0793623784566911,0.14983452677835715,-1283,-5.132000000006272,20481,81.92400000010012,-5.132000000006272,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x252042f40>, <matplotlib.lines.Line2D object at 0x252042e80>)"
VN106,0.02406167967716073,0.36108698584289095,1503,6.0120000000073475,20481,81.92400000010012,6.0120000000073475,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x25450e1c0>, <matplotlib.lines.Line2D object at 0x25450e100>)"
PC705,0.011044306251898717,0.5152570077478268,-131,-0.5240000000006404,20481,81.92400000010012,-0.5240000000006404,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x25688a520>, <matplotlib.lines.Line2D object at 0x25688a460>)"
VA303,0.009136169874402867,0.4013061414967855,-243,-0.9720000000011879,20481,81.92400000010012,-0.9720000000011879,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x258d03ac0>, <matplotlib.lines.Line2D object at 0x3439c3280>)"
VA308,0.08146929967523835,0.28801304019268087,-572,-2.2880000000027962,20481,81.92400000010012,-2.2880000000027962,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24d641c40>, <matplotlib.lines.Line2D object at 0x24d641b80>)"
BR603,0.09309857193869771,0.21374627213642244,-110,-0.44000000000053774,20481,81.92400000010012,-0.44000000000053774,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x153e2a9d0>, <matplotlib.lines.Line2D object at 0x153e2a910>)"
VN101,0.07828149323867502,0.10459636634504951,-1823,-7.292000000008912,20481,81.92400000010012,-7.292000000008912,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x24da54e50>, <matplotlib.lines.Line2D object at 0x24da54d90>)"
BR602,0.026449933125388122,0.4941866405306634,249,0.9960000000012172,20481,81.92400000010012,0.9960000000012172,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x25a7be640>, <matplotlib.lines.Line2D object at 0x25a7be580>)"
PC702,0.011638513619511502,0.2912693006019688,-95,-0.3800000000004644,20481,81.92400000010012,-0.3800000000004644,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x25cafa160>, <matplotlib.lines.Line2D object at 0x25cafa0a0>)"
VN104,0.023395055466086,0.4942813447599383,-224,-0.896000000001095,20481,81.92400000010012,-0.896000000001095,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x25ef64cd0>, <matplotlib.lines.Line2D object at 0x25ef64c10>)"
VN108,0.016808221676916466,0.4031101069712326,-390,-1.5600000000019065,20481,81.92400000010012,-1.5600000000019065,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2612e2190>, <matplotlib.lines.Line2D object at 0x2612e20d0>)"
