devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
LS404,0.06607003760813213,0.33674759219465805,73,0.29199999999931947,20481,81.92399999980907,0.29199999999931947,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x144877af0>, <matplotlib.lines.Line2D object at 0x144877a30>)",,2023-02-15 10:25:26.865000+00:00
VA307,0.016800540339316102,0.38334875901564375,333,1.3319999999968957,20481,81.92399999980907,1.3319999999968957,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x146bcf280>, <matplotlib.lines.Line2D object at 0x146bcf1c0>)",,2023-02-15 10:25:27.905000+00:00
LS410,0.009059582275415808,0.357855975817709,47,0.18359375,20481,81.92399999980907,-0.5759999999986576,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x148effeb0>, <matplotlib.lines.Line2D object at 0x148effdf0>)",2023-02-15 10:25:55.183593750+00:00,2023-02-15 10:25:26.756593750+00:00
VN208,0.009773556373770535,0.3594000463145356,-150,-0.5859375,20481,81.92399999980907,-1.3679999999968118,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x14b24e400>, <matplotlib.lines.Line2D object at 0x14b24e340>)",2023-02-15 10:25:54.414062500+00:00,2023-02-15 10:25:25.987062500+00:00
BR605,0.03589970549024476,0.41771652485860544,45,0.17578125,20481,81.92399999980907,0.9399999999978093,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x14d57d820>, <matplotlib.lines.Line2D object at 0x14d57d760>)",2023-02-15 10:25:55.175781250+00:00,2023-02-15 10:25:26.748781250+00:00
VN104,0.006509774976527744,0.3669679634148461,-81,-0.3239999999992449,20481,81.92399999980907,-0.3239999999992449,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x14f8bc460>, <matplotlib.lines.Line2D object at 0x14f8bc3a0>)",,2023-02-15 10:25:26.249000+00:00
LS405,0.2156769307162584,0.34158847890320004,192,0.7679999999982101,20481,81.92399999980907,0.7679999999982101,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x151bff310>, <matplotlib.lines.Line2D object at 0x151bff250>)",,2023-02-15 10:25:27.341000+00:00
BR604,0.07443120456434693,,-123,,20481,81.92399999980907,-0.49199999999885335,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x153f30a00>, <matplotlib.lines.Line2D object at 0x153f30940>)",,
VN204,0.007672015766885727,0.5721295287544022,-144,-0.5759999999986576,20481,81.92399999980907,-0.5759999999986576,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x156270df0>, <matplotlib.lines.Line2D object at 0x156270d30>)",,2023-02-15 10:25:25.997000+00:00
VN209,0.07986833952121046,,1198,,20481,81.92399999980907,4.791999999988832,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1585bba60>, <matplotlib.lines.Line2D object at 0x1585bb9a0>)",,
