devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
LS402,0.030312417071595363,0.02156348571029087,1864,0.9375,20481,81.92400000010012,7.456000000009112,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x4113a5fa0>, <matplotlib.lines.Line2D object at 0x4113a5ee0>)",2023-02-17 10:16:45.937500+00:00,2023-02-17 10:16:28.937500+00:00
VA306,0.011903178679983814,0.01763077629791684,38,0.8828125,20481,81.92400000010012,0.15200000000018576,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x4136e01c0>, <matplotlib.lines.Line2D object at 0x4136e0100>)",2023-02-17 10:16:45.882812500+00:00,2023-02-17 10:16:28.882812500+00:00
LS407,0.04836990246431941,0.44769531135123136,389,1.5560000000019016,20481,81.92400000010012,1.5560000000019016,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x415a13910>, <matplotlib.lines.Line2D object at 0x415a13850>)",,2023-02-17 10:16:29.556000+00:00
LS404,0.14349512087878677,0.19989951887584728,196,0.7840000000009582,20481,81.92400000010012,0.7840000000009582,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x417d54310>, <matplotlib.lines.Line2D object at 0x32150f790>)",,2023-02-17 10:16:28.784000+00:00
VA307,0.02430607420218971,0.14413913015635055,181,1.4453125,20481,81.92400000010012,0.7240000000008848,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x3b7cbfd30>, <matplotlib.lines.Line2D object at 0x3b7cbfc70>)",2023-02-17 10:16:46.445312500+00:00,2023-02-17 10:16:29.445312500+00:00
VN104,0.33215327973489484,0.40067465973593225,192,0.7680000000009386,20481,81.92400000010012,0.7680000000009386,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x407f5d1f0>, <matplotlib.lines.Line2D object at 0x407f5d130>)",,2023-02-17 10:16:28.768000+00:00
VN208,0.008383956526657403,0.022349215491110703,1738,0.3828125,20481,81.92400000010012,6.952000000008496,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x30f8fa700>, <matplotlib.lines.Line2D object at 0x30f8fa640>)",2023-02-17 10:16:45.382812500+00:00,2023-02-17 10:16:28.382812500+00:00
VA301,0.0028676034799364034,0.02036105105196974,95,1.12109375,20481,81.92400000010012,0.3800000000004644,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x312325a60>, <matplotlib.lines.Line2D object at 0x3123259a0>)",2023-02-17 10:16:46.121093750+00:00,2023-02-17 10:16:29.121093750+00:00
PC702,0.006477263857327511,0.024259906342958434,118,1.2109375,20481,81.92400000010012,0.47200000000057685,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x314b9be50>, <matplotlib.lines.Line2D object at 0x314b9bd90>)",2023-02-17 10:16:46.210937500+00:00,2023-02-17 10:16:29.210937500+00:00
VA303,0.08434779263760096,,-1581,,20481,81.92400000010012,-6.324000000007729,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x3173a6970>, <matplotlib.lines.Line2D object at 0x3173a68b0>)",,
